,Date,Open,High,Low,Close,Volume,Market_Cap,Spread,Month_Year,Unemployment_Percentage,USDI,Y_Average,DOW_Close,NASDAQ_Close,SP500_Close,Average_Close
205,2013-11-19,712.76,806.11,456.39,584.61,0.0,7022949161.0,349.72,2013-11,6.9,80.7,639.9675,15967.03027,3931.5500490000004,1787.869995,7228.816771333334
206,2013-11-20,577.98,599.65,448.45,590.83,0.0,7100077964.0,151.2,2013-11,6.9,81.11,554.2275000000001,15900.82031,3921.2700200000004,1781.369995,7201.153441666666
207,2013-11-21,594.32,733.4,577.29,722.43,0.0,8684240726.0,156.11,2013-11,6.9,81.07,656.86,16009.990230000001,3969.1599119999996,1795.8499760000002,7258.333372666668
208,2013-11-22,724.07,780.85,668.13,771.44,0.0,9276681716.0,112.72,2013-11,6.9,80.71,736.1225000000001,16064.769530000001,3991.649902,1804.7600100000002,7287.059814000001
211,2013-11-25,773.02,810.68,754.43,799.11,0.0,9619646225.0,56.25,2013-11,6.9,80.92,784.31,16072.54004,3994.570068,1802.47998,7289.863362666667
212,2013-11-26,805.73,928.54,800.8,928.1,0.0,11176110593.0,127.74,2013-11,6.9,80.61,865.7924999999999,16072.799809999999,4017.75,1802.75,7297.766603333333
213,2013-11-27,923.85,1001.96,891.68,1001.96,0.0,12069885699.0,110.28,2013-11,6.9,80.72,954.8625,16097.330080000002,4044.75,1807.22998,7316.436686666667
215,2013-11-29,1042.01,1146.97,1000.64,1131.97,0.0,13646039846.0,146.33,2013-11,6.9,80.68,1080.3975,16086.41016,4059.889893,1805.810059,7317.370037333333
218,2013-12-02,951.42,1055.42,938.41,1043.33,0.0,12591271606.0,117.01,2013-12,6.7,80.92,997.145,16008.769530000001,4045.26001,1800.9000239999998,7284.976521333334
219,2013-12-03,1046.4,1096.0,1011.21,1078.28,0.0,13018451838.0,84.79,2013-12,6.7,80.92,1057.9725,15914.62012,4037.1999509999996,1795.1500239999998,7248.990031666665
220,2013-12-04,1077.58,1156.12,1070.16,1151.17,0.0,13903428351.0,85.96,2013-12,6.7,80.62,1113.7575,15889.769530000001,4038.0,1792.810059,7240.193196333334
221,2013-12-05,1152.73,1154.36,897.11,1045.11,0.0,12626914509.0,257.25,2013-12,6.7,80.23,1062.3275,15821.509769999999,4033.169922,1785.030029,7213.236573666666
222,2013-12-06,1042.38,1042.38,829.45,829.45,0.0,10025645095.0,212.93,2013-12,6.7,80.31,935.915,16020.2002,4062.5200200000004,1805.089966,7295.936728666667
225,2013-12-09,793.8,921.93,780.9,893.19,0.0,10808715488.0,141.03,2013-12,6.7,80.13,847.455,16025.53027,4068.75,1808.369995,7300.883421666666
226,2013-12-10,892.32,997.23,892.32,988.51,0.0,11966951486.0,104.91,2013-12,6.7,79.97,942.595,15973.12988,4060.48999,1802.619995,7278.746621666668
227,2013-12-11,989.07,1001.58,834.23,878.48,0.0,10638546534.0,167.35,2013-12,6.7,79.89,925.84,15843.53027,4003.8100590000004,1782.219971,7209.853433333333
228,2013-12-12,882.78,901.94,844.95,873.26,0.0,10578889955.0,56.99,2013-12,6.7,80.21,875.7325000000001,15739.42969,3998.399902,1775.5,7171.109864000001
229,2013-12-13,874.98,941.79,860.05,892.58,0.0,10816819988.0,81.74,2013-12,6.7,80.21,892.3499999999999,15755.36035,4000.9799799999996,1775.319946,7177.220092
232,2013-12-16,880.33,882.25,668.25,705.97,0.0,8565534010.0,214.0,2013-12,6.7,80.07,784.2,15884.57031,4029.5200200000004,1786.540039,7233.543456333333
233,2013-12-17,706.37,754.83,630.88,682.12,0.0,8279623719.0,123.95,2013-12,6.7,80.06,693.55,15875.259769999999,4023.679932,1781.0,7226.646567333333
234,2013-12-18,678.2,679.32,420.51,522.7,0.0,6347159168.0,258.81,2013-12,6.7,80.11,575.1825,16167.96973,4070.0600590000004,1810.6500239999998,7349.559937666666
235,2013-12-19,519.06,707.23,502.89,691.96,0.0,8406397153.0,204.34,2013-12,6.7,80.63,605.285,16179.080080000002,4058.139893,1809.5999760000002,7348.939983000001
236,2013-12-20,694.22,729.16,595.33,625.32,0.0,7599576492.0,133.83,2013-12,6.7,80.58,661.0075,16221.13965,4104.740234000001,1818.319946,7381.399943333334
239,2013-12-23,613.06,680.91,611.04,673.41,0.0,8192487202.0,69.87,2013-12,6.7,80.45,644.6049999999999,16294.61035,4148.899902,1827.9899899999998,7423.833414
240,2013-12-24,672.36,684.39,645.71,665.58,0.0,8100042042.0,38.68,2013-12,6.7,80.45,667.01,16357.549809999999,4155.419922,1833.319946,7448.763225999999
242,2013-12-26,683.94,777.75,683.94,761.98,0.0,9279735331.0,93.81,2013-12,6.7,80.48,726.9025,16479.88086,4167.180176,1842.02002,7496.360352
243,2013-12-27,763.28,777.51,713.6,735.07,46862700.0,8955394564.0,63.91,2013-12,6.7,80.39,747.365,16478.41016,4156.589844,1841.4000239999998,7492.133342666667
246,2013-12-30,741.35,766.6,740.24,756.13,20707700.0,9217167990.0,26.36,2013-12,6.7,80.0,751.08,16504.28906,4154.200195,1841.069946,7499.853067
247,2013-12-31,760.32,760.58,738.17,754.01,20897300.0,9191325349.0,22.41,2013-12,6.7,80.03,753.27,16576.66016,4176.589844,1848.359985,7533.869996333334
249,2014-01-02,773.44,820.31,767.21,802.39,38489500.0,9781073921.0,53.1,2014-01,6.6,80.63,790.8375,16441.34961,4143.069824,1831.97998,7472.133138000001
250,2014-01-03,802.85,834.15,789.12,818.72,37810100.0,9980135396.0,45.03,2014-01,6.6,80.79,811.21,16469.99023,4131.910156,1831.369995,7477.756793666667
253,2014-01-06,936.05,1017.12,905.71,953.29,85565696.0,11620533603.0,111.41,2014-01,6.6,80.65,953.0425,16425.09961,4113.680176,1826.77002,7455.183268666667
254,2014-01-07,946.49,965.74,802.0,802.0,81311696.0,9808299600.0,163.74,2014-01,6.6,80.83,879.0575,16530.93945,4153.180176,1837.880005,7507.333210333333
255,2014-01-08,795.99,870.68,776.18,842.72,74175600.0,10310363180.0,94.5,2014-01,6.6,81.02,821.3924999999999,16462.74023,4165.609863000001,1837.4899899999998,7488.613361
256,2014-01-09,841.47,864.36,804.14,846.86,59998600.0,10365397028.0,60.22,2014-01,6.6,81.0,839.2075,16444.75977,4156.189941,1838.130005,7479.693238666667
257,2014-01-10,846.69,871.19,822.6,868.48,31876800.0,10634081648.0,48.59,2014-01,6.6,80.66,852.24,16437.05078,4174.669922,1842.369995,7484.696899000001
260,2014-01-13,860.19,861.29,806.05,841.2,45580900.0,10312375950.0,55.24,2014-01,6.6,80.51,842.1824999999999,16257.94043,4113.299805,1819.199951,7396.813395333334
261,2014-01-14,843.17,855.69,825.66,833.27,20829800.0,10218535832.0,30.03,2014-01,6.6,80.66,839.4475,16373.86035,4183.02002,1838.880005,7465.253458333333
262,2014-01-15,833.12,872.81,830.86,860.9,28107200.0,10561305975.0,41.95,2014-01,6.6,81.03,849.4225,16481.93945,4214.879883,1848.380005,7515.066446
263,2014-01-16,860.29,866.16,835.63,835.63,19149300.0,10255185612.0,30.53,2014-01,6.6,80.91,849.4275,16417.00977,4218.689941,1845.890015,7493.863242
